Year,Continent,Country,Arrivals (In Numbers),Air
2012,America,Canada,256021,97.9
2012,America,USA,1039947,99.3
2012,America,Argentina,9831,91.6
2012,America,Brazil,18440,97.8
2012,America,Mexico,11254,95.7
2012, America,Others,24174,96.6
2012, Europe,Austria,38585,97.7
2012, Europe,Belgium,42604,98.1
2012, Europe,Denmark,33084,97.8
2012, Europe,Finland,22416,96.1
2012, Europe,France,240674,98.4
2012, Europe,Germany,254783,97.1
2012, Europe,Greece,7493,90.5
2012, Europe,Ireland,24546,98.2
2012, Europe,Italy,98743,97.8
2012, Europe,Netherlands,74800,96.1
2012, Europe,Norway,23569,95.6
2012, Europe,Portugal,24670,98.8
2012, Europe,Spain,67044,96.2
2012, Europe,Sweden,51058,98.4
2012, Europe,Switzerland,48388,97.7
2012, Europe,UK,788170,97.9
2012, Europe,Others,12439,97.4
2012, Europe,Czech Rep.,11129,92.5
2012, Europe,Hungary,6507,96
2012, Europe,Kazakhstan,11653,98.1
2012, Europe,Poland,25030,93.8
2012, Europe,Russian Fed.,177526,96.7
2012, Europe,Ukraine,29033,83.4
2012, Europe,Others,51808,93.6
2012,Africa,Egypt,10571,97.3
2012,Africa,Kenya,34037,99.9
2012,Africa,Mauritius,25013,99.9
2012,Africa,Nigeria,36762,99.8
2012,Africa,South Africa,50161,99
2012,Africa,Sudan,9626,100
2012,Africa,Tanzania,21862,99.8
2012,Africa,Others,73396,99.4
2012,Asia,Bahrain,10045,99.1
2012,Asia,Iraq,38826,100
2012,Asia,Israel,47649,98
2012,Asia,Oman,49759,100
2012,Asia,Saudi Arabia,32127,99.9
2012,Asia,Turkey,22986,92.9
2012,Asia,UAE,41664,99.9
2012,Asia,Yemen,18654,99.9
2012,Asia,Others,29286,98.9
2012,Asia,Afghanistan,95231,99.4
2012,Asia,Iran,40973,99.7
2012,Asia,Maldives,50428,99.9
2012,Asia,Nepal,125375,95.1
2012,Asia,Pakistan,59846,13.9
2012,Asia,Bangladesh,487397,36.7
2012,Asia,Sri Lanka,296983,99.1
2012,Asia,Bhutan,15266,99.8
2012,Asia,Indonesia,29559,96.6
2012,Asia,Malaysia,195853,99.4
2012,Asia,Myanmar,30588,83.7
2012,Asia,Philippines,33323,84.9
2012,Asia,Singapore,131452,99.5
2012,Asia,Thailand,105141,93.2
2012,Asia,Vietnam,11332,89.1
2012,Asia,Others,3666,96.2
2012,Asia,China (Main),168952,97
2012,Asia,China (Taiwan),31639,94.6
2012,Asia,Japan,220015,97.4
2012,Asia,Rep. of Korea,109469,94.4
2012,Asia,Others,5547,96.7
2012,Oceania,Australia,202105,96.7
2012,Oceania,New Zealand,38917,97.9
2012,Oceania,Others,3489,95.3
2014,America,Canada,268485,99.2
2014,America,USA,1118983,99.5
2014,America,Argentina,9731,97.9
2014,America,Brazil,19563,98.7
2014,America,Mexico,13978,99.1
2014,America,Others,26654,97.6
2014, Europe,Austria,34360,99
2014, Europe,Belgium,37441,99.2
2014, Europe,Denmark,26775,99.1
2014, Europe,Finland,18765,99.1
2014, Europe,France,246101,99.2
2014, Europe,Germany,239106,99
2014, Europe,Greece,8300,94.8
2014, Europe,Ireland,28978,99.3
2014, Europe,Italy,91589,99.2
2014, Europe,Netherlands,67747,99
2014, Europe,Norway,19690,98.7
2014, Europe,Portugal,36156,99.7
2014, Europe,Spain,66463,98.7
2014, Europe,Sweden,44948,99.2
2014, Europe,Switzerland,45773,99.2
2014, Europe,UK,838860,99.5
2014, Europe,Others,9528,98.9
2014, Europe,Czech Rep.,9878,97.3
2014, Europe,Kazakhstan,16736,99.7
2014, Europe,Poland,25205,97.3
2014, Europe,Russian Fed.,269832,99.3
2014, Europe,Ukraine,29281,93.4
2014, Europe,Others,71346,98
2014,Africa,Egypt,16715,99.1
2014,Africa,Kenya,46158,99.8
2014,Africa,Mauritius,27945,99.5
2014,Africa,Nigeria,28314,99.9
2014,Africa,South Africa,56246,99.1
2014,Africa,Sudan,11896,99.8
2014,Africa,Tanzania,26284,99.6
2014,Africa,Others,67196,99.4
2014,Asia,Bahrain,13136,97.9
2014,Asia,Iraq,48321,100
2014,Asia,Israel,49312,97.8
2014,Asia,Oman,88512,100
2014,Asia,Saudi Arabia,55487,100
2014,Asia,Turkey,24294,97.6
2014,Asia,UAE,59332,99.9
2014,Asia,Yemen,34207,99.8
2014,Asia,Others,41077,99
2014,Asia,Afghanistan,115569,100
2014,Asia,Iran,31222,99.5
2014,Asia,Maldives,65052,99.9
2014,Asia,Nepal,126416,93.9
2014,Asia,Pakistan,96434,15.1
2014,Asia,Bangladesh,942562,14.3
2014,Asia,Sri Lanka,301601,89.3
2014,Asia,Bhutan,16001,88
2014,Asia,Indonesia,32215,94.3
2014,Asia,Malaysia,262026,99.1
2014,Asia,Myanmar,54631,59.9
2014,Asia,Philippines,43240,81.1
2014,Asia,Singapore,150731,99.6
2014,Asia,Thailand,121362,79.2
2014,Asia,Vietnam,15132,74.3
2014,Asia,Others,6468,71.1
2014,Asia,China (Main),181020,96.9
2014,Asia,China (Taiwan),35857,94.1
2014,Asia,Japan,219516,98.8
2014,Asia,Rep. of Korea,106870,95.5
2014,Asia,Others,3529,97.2
2014,Oceania,Australia,239762,99.1
2014,Oceania,New Zealand,42864,99.1
2014,Oceania,Others,3668,97
2015,America,Canada,281306,99
2015,America,USA,1213624,99.3
2015,America,Argentina,9351,97.7
2015,America,Brazil,20610,99.3
2015,America,Mexico,14049,98
2015,America,Others,26821,98.1
2015,America,Austria,33670,98.8
2015,America,Belgium,36684,98.9
2015,America,Denmark,24073,98.8
2015, Europe,Finland,18129,99.1
2015, Europe,France,230854,99.3
2015, Europe,Germany,248314,96.9
2015, Europe,Greece,8087,94.7
2015, Europe,Ireland,32973,99.5
2015, Europe,Italy,88091,99.2
2015, Europe,Netherlands,66181,99
2015, Europe,Norway,19757,98.5
2015, Europe,Portugal,44616,99.7
2015, Europe,Spain,65694,98.8
2015, Europe,Sweden,42626,99.1
2015, Europe,Switzerland,46151,98.2
2015, Europe,UK,867601,99.4
2015, Europe,Others,6702,98.6
2015, Europe,Czech Rep.,11441,98.7
2015, Europe,Kazakhstan,14506,99.8
2015, Europe,Poland,26499,97.3
2015, Europe,Russian Fed.,172419,99.1
2015, Europe,Ukraine,23098,91.2
2015, Europe,Others,83088,98
2015,Africa,Egypt,19168,99.4
2015,Africa,Kenya,46139,99.9
2015,Africa,Mauritius,32533,99.6
2015,Africa,Nigeria,24292,100
2015,Africa,South Africa,51922,98.9
2015,Africa,Sudan,13704,99.9
2015,Africa,Tanzania,25488,99.7
2015,Africa,Others,80323,99.6
2015,Asia,Bahrain,14013,99.6
2015,Asia,Iraq,42660,100
2015,Asia,Israel,50134,99
2015,Asia,Oman,103740,100
2015,Asia,Saudi Arabia,63835,100
2015,Asia,Turkey,25670,96.9
2015,Asia,UAE,55818,100
2015,Asia,Yemen,20901,99.5
2015,Asia,Others,40845,98.6
2015,Asia,Afghanistan,114406,100
2015,Asia,Iran,30774,99.7
2015,Asia,Maldives,68907,99.9
2015,Asia,Nepal,154720,96.2
2015,Asia,Pakistan,124924,10.2
2015,Asia,Bangladesh,1133879,14.7
2015,Asia,Sri Lanka,299513,89.3
2015,Asia,Bhutan,19084,90.4
2015,Asia,Indonesia,34933,94.4
2015,Asia,Malaysia,272941,99.2
2015,Asia,Myanmar,55341,64.1
2015,Asia,Philippines,47912,76.1
2015,Asia,Singapore,152238,99.7
2015,Asia,Thailand,115860,81.6
2015,Asia,Vietnam,15341,79.8
2015,Asia,Others,5732,80.5
2015,Asia,China (Main),206322,97.2
2015,Asia,China (Taiwan),36349,96.4
2015,Asia,Japan,207415,98.1
2015,Asia,Rep. of Korea,102993,97.3
2015,Asia,Others,2691,97.1
2015,Oceania,Australia,263101,98.8
2015,Oceania,New Zealand,45171,98.8
2015,Oceania,Others,3829,95.4
2016,America,Canada,317239,99.1
2016,America,USA,1296939,99.5
2016,America,ARGENTINA,12308,98.51
2016,America,BRAZIL,212.89,"99,00"
2016,America,MEXICO,15689,96.4
2016,America,OTHERS,29444,98.7
2016, Europe,AUSTRIA,33089,97.3
2016, Europe,BELGIUM,37960,98.6
2016, Europe,DENMARK,24717,98.7
2016, Europe,FINLAND,18371,99.2
2016, Europe,FRANCE,238707,99.3
2016, Europe,GERMANY,265928,93.9
2016, Europe,GREECE,9048,94.4
2016, Europe,IRELAND,36440,99.4
2016, Europe,ITALY,95417,98.6
2016, Europe,NETHERLANDS,71840,98.9
2016, Europe,NORWAY,20148,98.1
2016, Europe,PORTUGAL,54439,99.7
2016, Europe,SPAIN,76342,99
2016, Europe,SWEDEN,43689,98.8
2016, Europe,SWITZERLAND,48123,96.8
2016, Europe,UNITED KINGDOM,941883,99.1
2016, Europe,OTHERS,13271,98.6
2016, Europe,CZECH REPUBLIC,12932,99
2016, Europe,HUNGARY,7961,98.8
2016, Europe,KAZAKHISTAN,12979,99.9
2016, Europe,POLAND,25706,98
2016, Europe,RUSSIAN FEDERATION,227749,99.2
2016, Europe,UKRAINE,26753,91.8
2016, Europe,OTHERS,91922,98.6
2016,Africa,EGYPT,20864,99.1
2016,Africa,KENYA,44783,99.9
2016,Africa,MAURITIUS,34280,99.5
2016,Africa,NIGERIA,17964,100
2016,Africa,SOUTH AFRICA,52636,98.9
2016,Africa,SUDAN,17093,100
2016,Africa,UNITED REPUBLIC OF TANZAN,23026,99.8
2016,Africa,OTHERS,91518,99.4
2016,Asia,BAHRIN,17382,99.5
2016,Asia,IRAQ,48227,100
2016,Asia,ISRAEL,59231,99.3
2016,Asia,OMAN,105705,100
2016,Asia,SAUDI ARABIA,61605,100
2016,Asia,TURKEY,29545,97.9
2016,Asia,UNITED Al AkB EMIRATES,67165,100
2016,Asia,YEMEN,19383,99.8
2016,Asia,OTHERS,43599,98.8
2016,Asia,AFGHANISTAN,123330,100
2016,Asia,BANGLADESH,1380409,14.4
2016,Asia,BHUTAN,20940,93.4
2016,Asia,IRAN,39184,99.8
2016,Asia,MALDIVES,67457,99.9
2016,Asia,NEPAL,161097,95.7
2016,Asia,PAKISTAN,104720,9.5
2016,Asia,SRI LANKA,297418,97.3
2016,Asia,1NDONESIA,35084,95.4
2016,Asia,MALAYSIA,301961,99.4
2016,Asia,MYANMAR,51376,80.4
2016,Asia,PHILIPPINES,52692,77
2016,Asia,SINGAPORE,163688,99.8
2016,Asia,THAILAND,119663,92.7
2016,Asia,VIETNAM,16728,88.5
2016,Asia,OTHERS,4877,96.4
2016,Asia,CHINA,251313,98.3
2016,Asia,JAPAN,208847,99.4
2016,Asia,REPUBLIC OF KOREA,111076,98
2016,Asia,TAIWAN,42327,98.1
2016,Asia,OTHERS,4000,98.4
2016,Oceania,AUSTRALIA,293625,98.5
2016,Oceania,NEW ZEALAND,50917,98.9
2016,Oceania,OTHERS,4366,97.3
2017,America,CANADA,335439,99
2017,America,UNITED STATES,1376919,99.2
2017,America,ARGENTINA,14875,97.4
2017,America,BRAZIL,24453,98.5
2017,America,MEXICO,18114,97.4
2017,America,OTHERS,34625,98.2
2017, Europe,AUSTRIA,31832,98.2
2017, Europe,BELGIUM,41902,98.6
2017, Europe,DENMARK,26761,99
2017, Europe,FINLAND,20384,99.4
2017, Europe,FRANCE,249620,99
2017, Europe,GERMANY,269380,96.2
2017, Europe,GREECE,10286,95.5
2017, Europe,IRELAND,37993,99.1
2017, Europe,ITALY,111915,97.9
2017, Europe,NETHERLANDS,76652,98.8
2017, Europe,NORWAY,20882,98.5
2017, Europe,PORTUGAL,66378,99.6
2017, Europe,SPAIN,81442,98.7
2017, Europe,SWEDEN,45851,99.3
2017, Europe,SWITZERLAND,49607,97.6
2017, Europe,UNITED KINGDOM,986296,99.1
2017, Europe,OTHERS,6492,98.4
2017, Europe,CZECH REPUBLIC,11852,97.9
2017, Europe,HUNGARY,9241,98.4
2017, Europe,KAZAKHISTAN,15421,99.7
2017, Europe,POLAND,28674,97.8
2017, Europe,RUSSIAN FEDERATION,278904,99.1
2017, Europe,UKRAINE,25988,93
2017, Europe,OTHERS,102792,98.4
2017,Africa,EGYPT,20528,99.1
2017,Africa,KENYA,46011,99.8
2017,Africa,MAURITIUS,37706,99.4
2017,Africa,NIGERIA,12651,99.8
2017,Africa,SOUTH AFRICA,57060,98.9
2017,Africa,SUDAN,22762,100
2017,Africa,UNITED REPUBLIC OF TANZAN,22261,99.7
2017,Africa,OTHERS,99044,99.7
2017,Asia,BAHRAIN,16764,99.5
2017,Asia,IRAQ,56230,99.9
2017,Asia,ISRAEL,58131,98.8
2017,Asia,OMAN,107217,100
2017,Asia,SAUDI ARABIA,52976,100
2017,Asia,TURKEY,33251,98.1
2017,Asia,UAE,67238,100
2017,Asia,YEMEN,21695,99.7
2017,Asia,OTHERS,44258,99.1
2017,Asia,AFGHANISTAN,149176,100
2017,Asia,BANGLADESH,2156557,14.4
2017,Asia,BHUTAN,25267,87.6
2017,Asia,IRAN,42641,99.7
2017,Asia,MALDIVES,66150,100
2017,Asia,NEPAL,164018,97.4
2017,Asia,PAKISTAN,44266,11.8
2017,Asia,SRI LANKA,303590,90.8
2017,Asia,INDONESIA,43973,96.2
2017,Asia,MALAYSIA,322126,99.3
2017,Asia,MYANMAR (BURMA),56952,77.4
2017,Asia,PHILIPPINES,53963,78.8
2017,Asia,SINGAPORE,175852,99.6
2017,Asia,THAILAND,140087,89.5
2017,Asia,VIETNAM,23771,80
2017,Asia,OTHERS,7851,84.2
2017,Asia,CHINA,247235,98.4
2017,Asia,JAPAN,222527,99.3
2017,Asia,REPUBLIC OF KOREA,142383,97.4
2017,Asia,TAIWAN,47043,97.1
2017,Asia,OTHERS,4107,97.2
2017,Oceania,AUSTRALIA,324243,98.9
2017,Oceania,NEW ZEALAND,56597,98.9
2017,Oceania,OTHERS,5219,98.9
2018,America,CANADA,351040,98.5
2018,America,UNITED STATES,1456678,99
2018,America,ARGENTINA,16345,97.2
2018,America,BRAZIL,26579,97.3
2018,America,MEXICO,19909,97
2018,America,OTHERS,38252,98.4
2018, Europe,AUSTRIA,33200,97.4
2018, Europe,BELGIUM,44086,98.3
2018, Europe,DENMARK,28195,98.8
2018, Europe,FINLAND,21239,99.1
2018, Europe,FRANCE,261653,98.7
2018, Europe,GERMANY,274087,95.8
2018, Europe,GREECE,10656,96
2018, Europe,IRELAND,39276,98.6
2018, Europe,ITALY,126931,96.8
2018, Europe,NETHERLANDS,81615,98.5
2018, Europe,NORWAY,22631,98.2
2018, Europe,PORTUGAL,74492,99.4
2018, Europe,SPAIN,84356,98.5
2018, Europe,SWEDEN,46743,98.7
2018, Europe,SWITZERLAND,49322,97
2018, Europe,UNITED KINGDOM,1029757,98.4
2018, Europe,OTHERS,15396,98.4
2018, Europe,CZECH REPUBLIC,13413,97.6
2018, Europe,HUNGARY,9201,98.6
2018, Europe,KAZAKHISTAN,13314,99.7
2018, Europe,POLAND,31555,97.5
2018, Europe,RUSSIAN FEDERATION,262309,99.1
2018, Europe,UKRAINE,26260,93.2
2018, Europe,OTHERS,109997,98.3
2018,Africa,EGYPT,20486,99
2018,Africa,KENYA,48845,99.9
2018,Africa,MAURITIUS,42096,99.7
2018,Africa,NIGERIA,12067,99.7
2018,Africa,SOUTH AFRICA,58613,98.9
2018,Africa,SUDAN,34712,99.9
2018,Africa,UNITED REPUBLIC OF TANZAN,23443,99.8
2018,Africa,OTHERS,110936,99.6
2018,Asia,BAHRAIN,13915,99.8
2018,Asia,IRAQ,68462,100
2018,Asia,ISRAEL,67366,98.8
2018,Asia,OMAN,95160,100
2018,Asia,SAUDI ARABIA,47546,100
2018,Asia,TURKEY,33825,97.3
2018,Asia,UNITED ARAB EMIRATES,59971,100
2018,Asia,YEMEN,21674,99.6
2018,Asia,AFGHANISTAN,153905,100
2018,Asia,BANGLADESH,2256675,17
2018,Asia,BHUTAN,26470,91.1
2018,Asia,IRAN,35596,99.5
2018,Asia,MALDIVES,62337,99.9
2018,Asia,NEPAL,174096,94.7
2018,Asia,PAKISTAN,41659,12.8
2018,Asia,SRI LANKA,353684,85.3
2018,Asia,INDONESIA,46867,95
2018,Asia,MALAYSIA,319172,99.2
2018,Asia,MYANMAR (BURMA),75773,64.6
2018,Asia,PHILIPPINES,53473,86.4
2018,Asia,SINGAPORE,183581,99.6
2018,Asia,THAILAND,166293,83.7
2018,Asia,VIETNAM,31427,77.6
2018,Asia,OTHERS,10502,77.9
2018,Asia,CHINA,281768,98.1
2018,Asia,JAPAN,236236,99.1
2018,Asia,REPUBLIC OF KOREA,150536,95.9
2018,Asia,TAIWAN,49457,96.2
2018,Asia,OTHERS,6571,97.7
2018,Oceania,AUSTRALIA,346486,97.9
2018,Oceania,NEW ZEALAND,60664,98.7
2019,America,CANADA,351859,98.1
2019,America,UNITED STATES,1512032,98.97
2019,America,OTHERS,1,100
2019,America,ARGENTINA,12844,96.61
2019,America,BRAZIL,25422,96.93
2019,America,MEXICO,20766,95.82
2019,America,OTHERS,39894,97.96
2019, Europe,AUSTRIA,32332,97.04
2019, Europe,BELGIUM,39263,97.92
2019, Europe,DENMARK,26492,98.22
2019, Europe,FINLAND,18945,98.87
2019, Europe,FRANCE,247238,98.7
2019, Europe,GERMANY,264973,94.48
2019, Europe,GREECE,10317,94.73
2019, Europe,IRELAND,41183,98.38
2019, Europe,ITALY,128572,95.98
2019, Europe,NETHERLANDS,80313,98.35
2019, Europe,NOWAY ,21898,98.06
2019, Europe,PORTUGAL,74743,99.48
2019, Europe,SPAIN,83322,98
2019, Europe,SWEDEN,42318,98.54
2019, Europe,SWITZERLAND,46826,96.81
2019, Europe,UNITED KINGDOM,1000292,97.87
2019, Europe,OTHERS,19414,96.27
2019, Europe,CZECH REPUBLIC,13290,97.49
2019, Europe,HUNGARY,9788,97.68
2019, Europe,KAZAKH STAN,15709,99.3
2019, Europe,POLAND,33687,96.83
2019, Europe,RUSSIAN FEDERATION,251319,98.81
2019, Europe,UKRAINE,29468,93.04
2019, Europe,OTHERS,103220,98.25
2019,Africa,EGYPT,21538,99.39
2019,Africa,KENYA,48639,99.81
2019,Africa,MAURITIUS,46814,99.47
2019,Africa,NIGERIA,14033,99.71
2019,Africa,SOUTH AFRICA,57274,98.18
2019,Africa,SUDAN,34003,99.94
2019,Africa,UNITED REPUBLIC OF TANZAN,23774,99.76
2019,Africa,OTHERS,116233,99.49
2019,Asia,BAHRAIN,15128,99.67
2019,Asia,IRAQ,61907,99.98
2019,Asia,ISRAEL,73137,98.71
2019,Asia,OMAN,74564,99.9
2019,Asia,SAUDI ARABIA,48526,99.95
2019,Asia,TURKEY,35113,96.11
2019,Asia,UNITED ARAB EMIRATES,55413,99.9
2019,Asia,YEMEN,26065,99.75
2019,Asia,OTHERS,42090,66.81
2019,Asia,AFGHANISTAN,124120,99.97
2019,Asia,BANGLADESH,2577727,15.79
2019,Asia,BHUTAN,28178,88.2
2019,Asia,IRAN,33288,99.4
2019,Asia,MALDIVES,78587,99.93
2019,Asia,NEPAL,164040,93.36
2019,Asia,PAKISTAN,39018,6.66
2019,Asia,SRI LANKA,330661,85.95
2019,Asia,INDONESIA,50177,95.23
2019,Asia,MALAYSIA,334579,96.97
2019,Asia,MYANMAR (BURMA),86842,63.76
2019,Asia,PHILIPPINES,56393,84.88
2019,Asia,SINGAPORE,190089,99.64
2019,Asia,THAILAND,169956,84.96
2019,Asia,VIETNAM,33636,78.81
2019,Asia,OTHERS,8868,86.43
2019,Asia,CHINA,339442,98.25
2019,Asia,JAPAN,238903,98.98
2019,Asia,REPUBLIC OF KOREA,149445,96.32
2019,Asia,TAIWAN,48195,95.9
2019,Asia,OTHERS,6240,98.93
2019,Oceania,AUSTRALIA,367241,97.77
2019,Oceania,NEW ZEALAND,55551,97.58
2019,Oceania,OTHERS,6147,99.17
2020,America,Canada,122868,98.1
2020,America,United States Of America,394092,99.1
2020,America,Others,-,-
2020,America,Argentina,4294,97.3
2020,America,Brazil,8092,97.1
2020,America,Mexico,4580,96.7
2020,America,Others,10002,98.1
2020, Europe,Austria,9182,97.2
2020, Europe,Belgium,11022,97.7
2020, Europe,Denmark,8252,97.9
2020, Europe,Finland,4310,97.8
2020, Europe,France,74243,98.7
2020, Europe,Germany,72558,95.1
2020, Europe,Greece,2854,92.2
2020, Europe,Ireland,9708,96.9
2020, Europe,Italy,31186,93.4
2020, Europe,Netherlands,26258,98.2
2020, Europe,Norway,6224,97.8
2020, Europe,Portugal,31005,99
2020, Europe,Spain,16335,98.1
2020, Europe,Sweden,11992,97.8
2020, Europe,Switzerland,12675,97.9
2020, Europe,United Kingdom,291874,97.7
2020, Europe,Others,4937,97.3
2020, Europe,Czech,3607,98.6
2020, Europe,Hungary,2964,95.3
2020, Europe,Kazakhstan,5918,98.5
2020, Europe,Poland,12161,95.6
2020, Europe,Russian Federation,102166,97.8
2020, Europe,Ukraine,10619,87.3
2020, Europe,Others,30710,97.1
2020,Africa,Egypt,4886,98.2
2020,Africa,Kenya,12779,99.8
2020,Africa,Mauritius,11410,99.3
2020,Africa,Nigeria,3819,99.4
2020,Africa,South Africa,12561,96.5
2020,Africa,Sudan,9114,99.9
2020,Africa,Tanzania,6501,99.5
2020,Africa,Others,29226,99.2
2020,Asia,Bahrain,3429,99.6
2020,Asia,Iraq,17823,100
2020,Asia,Israel,17444,98.7
2020,Asia,Oman,15430,100
2020,Asia,Saudi Arabia,10423,99.9
2020,Asia,Turkey,10853,92.5
2020,Asia,United Arab Emirates,7387,100
2020,Asia,Yemen,5882,99.7
2020,Asia,Others,8980,97.4
2020,Asia,Afghanistan,47561,100
2020,Asia,Bangladesh,549273,15.8
2020,Asia,Bhutan,7901,85.3
2020,Asia,Iran,7090,97.9
2020,Asia,Maldives,14536,99.5
2020,Asia,Nepal,40822,89.6
2020,Asia,Pakistan,14232,3.6
2020,Asia,Sri Lanka,68646,89
2020,Asia,Indonesia,11795,83.8
2020,Asia,Malaysia,69897,98.2
2020,Asia,Myanmar,35291,56.1
2020,Asia,Philippines,16052,61.2
